abstract,title,keywords,journal,scopus_id,year,first selection,,,,,
"In the design of the supply chain, the use of the returned products and their recycling in the production and consumption network is called reverse logistics. The proposed model aims to optimize the flow of materials in the supply chain network (SCN), and determine the amount and location of facilities and the planning of transportation in conditions of demand uncertainty. Thus, maximizing the total profit of operation, minimizing adverse environmental effects, and maximizing customer and supplier service levels have been considered as the main objectives. Accordingly, finding symmetry (balance) among the profit of operation, the environmental effects and customer and supplier service levels is considered in this research. To deal with the uncertainty of the model, scenario-based robust planning is employed alongside a meta-heuristic algorithm (NSGA-II) to solve the model with actual data from a case study of the steel industry in Iran. The results obtained from the model, solving and validating, compared with actual data indicated that the model could optimize the objectives seamlessly and determine the amount and location of the necessary facilities for the steel industry more appropriately.",Robust Multi-Objective Sustainable Reverse Supply Chain Planning: An Application in the Steel Industry,multi-objective planning *** reverse supply chain *** robust optimization *** uncertainty *** meta-heuristic algorithm *** steel making industry,symmetry-basel,WOS:000540222200105,2020,,,,,,
"Many companies are struggling to manage their production systems due to increasing market uncertainty. While emerging 'smart' technologies such as the internet of things, machine learning, and cloud computing have been touted as having the potential to transform production management, the realities of their adoption and use have been much more challenging than anticipated. In this paper, we explore these challenges and present a conceptual model, a use-case matrix and a product-process framework for a smart production planning and control (smart PPC) system and illustrate the use of these artefacts through four case companies. The presented model adopts an incremental approach that companies with limited resources could employ in improving their PPC process in the context of industry 4.0 and sustainability. The results reveal that while make-to-order companies are more likely to derive greater benefits from a smart product strategy, make-to-stock companies are more likely to derive the most benefit from pursuing a smart process strategy, and consequently a smart PPC solution.","Smart Production Planning and Control: Concept, Use-Cases and Sustainability Implications",production planning and control *** smart manufacturing *** internet of things *** machine learning *** industry 4 *** 0 *** case study,sustainability,WOS:000537476200289,2020,,,,,,
"Disposing food waste in landfills leads to significant greenhouse gas emissions and lost economic and environmental resources, motivating the need for alternative treatment processes to convert waste to energy and value-added products. Developing the networks and infrastructure required to make these processes economically viable depends on high quality information about the volume and characteristics of food waste requiring treatment. Traditionally, food waste generation estimates have come from limited empirical studies and theoretical tools that predict the volume of food waste that will result from different types and intensities of economic activity. Resulting estimations are quick and don't require extensive investment to collect, but only provide single, static snapshots of expected waste generation. In reality, however, food waste would vary depending on the season, geography, and type and magnitude of the waste generating activity. This study provides an analysis of this potential variability using empirical data from commercial and institutional food waste generators in New York State and a publicly available database of food waste estimates. Results show that 57 % of food waste generated within the region comes from only 4 % of commercial facilities. Moreover, statewide generation varies monthly by approximately 37 % and significantly across different regions due to concentrations of facility locations. Study findings underscore how policy or facility siting decisions based on a single, static food waste estimation may not capture the full complexity of food waste management. Future work can improve common estimation approaches and methods for collecting empirical data to support robust policy.",Variability in commercial and institutional food waste generation and implications for sustainable management systems,Food waste *** Generation estimates *** Variability *** Geospatial *** Policy implications,resources conservation and recycling,WOS:000540558400010,2020,,,,,,
"Hazardous waste management is a hierarchical process. In the upper level of the hierarchy, the government's policies on planning and controlling the waste management infrastructure aim to overcome the environmental concerns related to the disposal of waste materials. On the other hand, the follower of the hierarchical process decides about waste collection plans considering the government-approved infrastructure to minimize total operational costs. From this point of view, the present study proposes a bi-level mathematical formulation to model the problem of hazardous waste management. Also, to tackle the highly fluctuating nature of hazardous waste generation rates, our study addresses the most probable, optimistic and pessimistic scenarios of this key parameter. To solve the problem under uncertainty, a multi-part solution methodology combining the robust optimization approach, a method of reformulating the bi-level model into Mixed-Integer Linear Programming (MILP) formulation as well as a feasibility repairing mechanism is applied. In the end, the model and the solution methodology are illustrated with a real-life hazardous medical waste management problem and practical insights are derived. (C) 2019 Elsevier Ltd. All rights reserved.",A bi-level and robust optimization-based framework for a hazardous waste management problem: A real-world application,Hazardous waste management *** Waste collection *** Bi-level programming *** Robust optimization *** Medical waste,journal of cleaner production,WOS:000516777200087,2020,,,,,,
"Under the background of economic globalization, supply chain is becoming more and more complex, which is manifested in the instability of external environment. On the one hand, with the improvement of global environmental protection awareness, the government's policy tools for environmental impact (carbon tax) on the whole supply chain have become one of the major external problems faced by the supply chain enterprises; on the other hand, the intensification of competition between upstream and downstream in supply chains makes supply disruption an important proposition to be solved urgently. In this paper, the two propositions of green and supply disruption are reduced to two factors affecting the cost. The average total cost function of the manufacturer as a recycler is established. The practicability of the algorithm and the effectiveness of the model are verified by Lingo, Particle Swarm Optimization, and Genetic Algorithm, with the purpose of obtaining the optimal strategies for manufacturers who play the role of the recycler in the closed-loop supply chain.",Optimal Strategies for CLSC considering Supply Disruption and Carbon Tax, ,mathematical problems in engineering,WOS:000533315500001,2020,,,,,,
"Telecoupled systems connect consumption and other choices in one part of the world with land-use and landcover change in another. While such connections are increasingly well documented, research on governing telecoupled systems is in its infancy. Drawing on recent discussions in sociology, we argue that models for governing telecoupled systems must consider two types of information flows. Low-bandwidth flows allow for limited information transfer but can take place over greater distances. High-bandwidth flows, by contrast, allow for more complex knowledge transfer but tend to be geographically localized due to the costs of maintaining robust connections. Using a mixed-methods case study of national sustainability certification in the wine sector in Australia and Chile, we argue that Chile's counterintuitive success in diffusing its national sustainability certification relates to its geography, which facilitated high-bandwidth connections. We conclude that telecoupling governance measures, such as jurisdictional commodity certification, need to consider the unique requirements and costs of high-bandwidth connections in allocating institutional investments.",The bandwidth problem in telecoupled systems governance: Certifying sustainable winemaking in Australia and Chile,Telecoupling *** Sustainability *** Wine *** Diffusion *** Environmental certification,ecological economics,WOS:000521120500005,2020,,,,,,
"© 2020 International Society of Management Science and Engineering Management. Nowadays, there is a great deal of interest in applying sustainability concepts for logistics and supply chain management. This paper proposes a new multi objective model in the area of closed loop supply chain problem integrated with lot sizing by considering lean, agility and sustainability factors simultaneously. In this regard, responsiveness, environmental, social and economic aspects are regarded in the model in addition to the capacity and service-level constraints. Most importantly, strategic and operational backup decisions are developed to increase the resiliency of the system against disruption of the facilities and routes simultaneously. In the following, a new hybrid metaheuristic algorithm comprised a parallel Multi-Objective Particle Swarm Optimization (PMOPSO) algorithm and a multi objective social engineering optimizer (MOSEO) is developed to deal with large size problems efficiency. To ensure about the effectiveness of the proposed hybrid algorithm, the results of this algorithm are compared with a Non-dominated Sorting Genetic Algorithm (NSGA-II).",Designing a data-driven leagile sustainable closed-loop supply chain network,data mining *** disruption risks *** Leagility *** multi-objective optimization *** supply chain *** sustainability,international journal of management science and engineering management,85091059116,2020,,,,,,
"The purpose of this study is to examine relationships between measures of sustainable freight transport performance (in the context of mid-sized third-party auto components' logistics players) with the associated externalities and firms' intrinsic characteristics when information exchange occurs between logistics firms and the auto manufacturer. Employing a survey-based research methodology, appropriate data were collected for a number of third-party logistics players, thus yielding a total of 708 responses from the operational managers of these firms. The research construct was validated through a rigorous procedure involving measurement and structural equation model. From a theoretical perspective, the results of this study provide evidences supporting systemic relationships between internal enablers of the logistics firms and externalities in the backdrop of environmental sustainability. Major findings indicate that transportation planning and distribution network and, commodity considerations backed by top management support can further environmental performance. Further, we also find evidence that effective transport planning and distribution network design used in conjunction with commodity considerations can be a source of sustainable supply chain performance. By bridging the literature pertaining to environmental sustainability, information exchange, and pertinent external/internal nuances of logistics firms, this study reveals novel findings that can help logistics players streamline operations focused at achieving environmental sustainability performance.",Examining freight performance of third-party logistics providers within the automotive industry in India: an environmental sustainability perspective,Sustainability *** logistics industry *** environment *** freight transportation *** empirical study,international journal of production research,WOS:000532429200001,2020,,,,,,
"Due to the relatively long period and large capital flow of public-private partnership (PPP) projects, PPP participants are faced with a complex risk situation impeding the sustainable project delivery. In recent years, risk management of PPP projects has received increasing attention. In this paper, twenty risk factors associated with infrastructure PPP projects were identified by literature review and in-depth case studies. Relationship data for these twenty typical risk factors were obtained through structured interviews. Based on the obtained data, the risk relationship network within infrastructure PPP projects was identified, and the network structure characteristics were analyzed, including individual node attributes and the influence and cohesion of subgroups. The results indicate that key risk factor nodes can form a reaction chain via bridge nodes that can trigger a risk domino effect within PPP projects. Specifically, the key risk factors of PPP projects are divided into two categories, the first of which include risk factors that have powerful and independent influence, such as delay in government approval, government credit, and imperfect legal and regulatory systems. The second category includes risk factors that are highly vulnerable and easily influenced, such as completion risks, insufficient revenue in the market, and fee change. A key risk factor reaction chain is one in which legal change leads to a decline in government credit rating, triggering a contract risk. Twelve bridge nodes were identified that play an important intermediary role in the network, e.g., legal change, public objection, and financing risk. This paper extends the application of social network analysis in PPP projects management research and identifies the key risk factors and crucial factors influencing chain reactions in PPP projects. The results provide a more in-depth understanding of sustainable PPP project management for government agencies and private enterprises.",Exploring the Risk Factors of Infrastructure PPP Projects for Sustainable Delivery: A Social Network Perspective,infrastructure PPP project *** risk factors *** relationship analysis *** social network analysis *** sustainable project delivery,sustainability,WOS:000543421400210,2020,,,,,,
"Smallholder farmers will continue to play a critical role in meeting the growing demand for food and non-food farm products in the next 30 years. Challenges in meeting this demand include climate change; deficiencies in enabling environments, resources, and capacities; and inappropriate institutional models of RD&E and development. Smallholders must improve productivity, volume, quality, and consistency of supply, but their downstream customers must also be competitive. Most smallholder supply chains lack the capacity for this. Therefore, new, vibrant agricultural innovation systems, or AIS, and improved enabling environments are vital. This paper outlines a transdisciplinary framework for investigating and facilitating these changes. It is based on the literature, projects, and experiences working in a range of developed and developing countries. A dualistic agribusiness systems model can help identify the complexity of problems, and the constraints to improving the productivity of smallholders and their value chains. It combines participatory and pluralistic action research and action learning processes to provide relevant solutions to improving the competitiveness of these chains. Key extension functions of rural advisory services to accelerate scaling out are integrated and discussed. The focus is at the program level, but it could be scaled to the macro level. Nevertheless, incorporating such approaches requires changes in philosophy, practice, and commitment of those involved in developing the agribusiness sector.",New Agricultural Innovation Systems and Smallholder Participation in Modern Farm Product Markets,agribusiness development *** agribusiness systems *** dualistic model *** action research *** action learning *** extension,asian journal of agriculture and development,WOS:000538021000003,2020,,,,,,
"There has been an increasing emphasis on environment management due to generation of toxic waste, scarcity of natural resources, etc. This has pushed manufacturing organizations to implement closed loop supply chain practices. In this paper, critical factors for the implementation of closed loop supply chain practices are identified and analyzed in the Indian automotive sector. Various key factors were identified from extant literature and subsequently validated from 28 industry experts. Further, cause and effect relationships among the factors are examined by applying Grey-Decision Making Trial and Evaluation Laboratory technique. The results indicate that 'Governmental regulations and support' (R-C = 1.14), 'Increased customer awareness on environment protection' (R-C = 0.65) and 'Implementation of information technologies' (R-C = 0.34) are the most important causal factors. The paper provides recommendations for policy makers, managers and practitioners on implementation of closed loop supply chain practices for environmental management. The future studies can explore the critical factors in other manufacturing industries such as electronics firms. (C) 2020 Elsevier Ltd. All rights reserved.",Critical factors to environment management in a closed loop supply chain,Environment management *** Closed loop supply chain *** Critical factors *** Grey-DEMATEL *** Automotive industry *** India,journal of cleaner production,WOS:000520953200040,2020,,,,,,
"The rising electronics waste (e-waste), increased pollution, disposal issues and exploitation of natural resources have augmented ecological and resource scarcity problems. These problems can be abate by adopting reverse logistics (RL) implementation so, the environmental protection and resource recovery options such as reuse, refurbish, recycle, remanufacturing and proper disposal can be executed to deal and manage with the e-waste. The goal of this research work is to identifies, evaluate and analyze the factors for successful implementation of RL practices. Fifteen critical RL factors are recognized from pertinent literature and endorsed by industry professionals. This paper utilized Grey based Decision Making Trial and Evaluation Laboratory (DEMATEL) approach to sort the identified factors into cause and effect clusters. Grey DEMATEL resolves the problem of data uncertainty and impreciseness involves in decision making in analyzing the factors. The results of the study found that 11 RL factors came into causal cluster as vital factors and 4 RL factors into the effect cluster as fundamental problems factors. Among causal cluster, the highest ranked four influential factors are Top management commitment (RLF1) with weightage value 0.7604, RLF2 i.e. enforced government regulations with weightage value 0.6549, RLF6 i.e. environmental/green concerns factor with weightage value 0.5678 and RLF8 i.e. Waste minimization (especially e-waste) factor with weightage value 0.5113 are respectively. Similarly, among effect cluster, the most easily influenced two factors are Market and competition factors (RLF15) with weightage value (- 1.1207) and Increased e-commerce (RLF13) with weightage value (- 1.2855) respectively. A case example of an Indian electronics firm is taken to showcase the application of the proposed model. This paper can help supply chain managers and analysts in superior understanding of critical factors and increase the chances of practicing more effective and successful RL implementation in electronics industry. At the end, few key country and industry-specific recommendations are offered to support major decision for management and policy makers to embrace and successfully accomplish the reverse supply chain practices in India.",A robust hybrid decision model to evaluate critical factors of reverse logistics implementation using Grey-DEMATEL framework,Reverse logistics factors (RLFs) *** Decision Making Trial and Evaluation Laboratory (DEMATEL) *** Grey set theory *** Supply chain (SC) *** Electronics industry *** India,opsearch,WOS:000534534500001,2020,,,,,,
"Nowadays, by increasing the sensitivity of governments to the issue of the environment, green supply chain design has become very significant. This paper presents a mathematical model based on a dual-channel system for designing a green supply chain. The first sales channel is based on the traditional retail purchasing system, while in the second channel the customers purchase the products from the plants directly. In the proposed model, decisions on location, products transfer and pricing are determined. Furthermore, the decision on the kind of manufacturing technology in each plant to be established is considered as well. Any kind of technology leads to a specific level of the greenness of the products in each plant. A product with a higher green level has a lower greenhouse gas emission but higher costs. In order to encourage managers to produce green products, government subsidy policies are in place. Besides, because of the uncertain nature of some parameters, a robust possibilistic optimization approach has been used. As the proposed mixed integer nonlinear model is complicated to solve, an Invasive Weed Optimization Algorithm (IWO) is proposed to obtain efficient solutions. Due to the nonlinear type of the developed model and due to there is no benchmark available in the related literature to validate the results, Cultural Algorithm (CA) and Genetic Algorithm (GA) are utilized. The results indicate that IWO performs better than others. (C) 2020 Elsevier Ltd. All rights reserved.",Joint decision on product greenness strategies and pricing in a dual-channel supply chain: A robust possibilistic approach,Dual-channel supply chain *** Pricing *** Invasive weed optimization algorithm *** Government subsidy *** Robust possibilistic optimization,journal of cleaner production,WOS:000524981300106,2020,,,,,,
"Electronic reverse logistics topic has received growing attention because of its environmental and economic impact. In Canada, the province of Ontario has enacted regulations regarding the Waste Electrical and Electronic Equipment (WEEE) Recycling program. The objective of this study is to develop a novel scenario-based robust possibilistic approach to optimize and configure an electronic reverse logistics network by considering the uncertainty associated with fixed and variable costs, the quantity of demand and return, and the quality of returned products. A Monte Carlo simulation is utilized to analyze the performance of our proposed model. Then, ANOVA test is conducted to statistically verify our model using the simulation results. The mathematical model is extended to the multi-objective optimization by maximising the environmental compliance of the third parties. The efficient solutions of the multi-objective model are computed using the two-phase fuzzy compromise approach. To provide a comprehensive assessment of the problem under investigation, we provide sensitivity analyses on the impact of different factors (e.g., recovery rates, capacity of facilities) on the total expected profit. Several interesting results were obtained, including the fact that increasing the capacity of facilities does not automatically translate into higher profits. Furthermore, by comparing the efficient solutions of deterministic and robust modes, we illustrate the impact of robustness price on the multi-objective model. The application of the proposed model is illustrated using a network in the Greater Toronto Area (GTA) in Canada.",A scenario-based robust possibilistic model for a multi-objective electronic reverse logistics network,Electronic reverse logistics *** Third party selection *** Robust possibilistic optimization *** Scenario-based programming *** Multi-objective programming,international journal of production economics,WOS:000525321800015,2020,,,,,,
"The growing demand for fuels combined with the fact that there are limited fossil fuel resources has led the world to seek renewable energy resources such as biofuels. Micro-algae can be an efficient source of biofuel energy, since it significantly reduces air pollution. In this paper, we develop a micro-algae biofuel supply chain through a two-stage approach. This study aims to commercialize micro-algae as a new source of energy. In the first stage, we utilize the Best-Worst Method (BWM) to determine the best cultivation system, and in the second stage, a bi-objective mathematical model is presented which simultaneously optimizes the economic and environmental objectives. We also propose a robust optimization model to deal with the uncertain nature of the biofuel supply chain. Our analysis on the trade-off between the supply chain's total cost and unfulfillment demand arrives at interesting managerial insights. Furthermore, to show the effectiveness of the robust optimization model, we compare the performance of the robust and deterministic models, and the results show that the robust model dominates over the deterministic model in all scenarios. Finally, sensitivity analysis on critical parameters is conducted to help decision-makers find the optimal trade-off between investment and its benefits.",A robust optimization model for a biofuel supply chain under demand uncertainty,Mathematical modeling *** Robust optimization *** Supply chain *** Biomass *** Renewable energy,international journal of energy and environmental engineering,WOS:000529693500004,2020,,,,,,
"International firms' activities and structures have become highly complex as a result of managing a vast network of entities located around the world. Complex technology such as Additive Manufacturing or generally accepted as 3D printing has received universal interest. Economic growth in Vietnam generates unique infrastructure, logistics services and transportation challenges and opportunities. Logistics are a critically important priority in international trade, foremost in ongoing regional economic expansion. The main objective of this paper is to examine the impact and benefits of advanced technology, affecting logistics services and transportation in Vietnam. This research applied a descriptive survey methodology to gather primary empirical data on the awareness and the willingness to adapt to the technology of organizations focusing on opportunities for the Vietnam market. The results indicated that organizations have a positive attitude towards 3DP impact. The stronger influence was discovered on customization, new customer value proposition, the competitive advantage, and transportation and storage cost reduction. Vietnam is currently one of the most attractive emerging markets in the world. The findings from this research provide timely and valuable new insights into this phenomenon, as a potential mechanism for assisting the revolution of the transportation industry towards improving traffic congestion and pollution. (c) 2019 Production and hosting by Elsevier B.V. on behalf of The Korean Association of Shipping and Logistics, Inc. This is an open access article under the CC BY-NC-ND license (http://creativecommons. org/licenses/by-nc-nd/4.0/).",Impact of additive manufacturing on the Vietnamese transportation industry: An exploratory study,3D printing *** 3DP *** Logistics *** Transportation *** Supply chain management *** Additive manufacturing *** Emerging market *** Economic growth *** Smart city *** Vietnam,asian journal of shipping and logistics,WOS:000536627500004,2020,,,,,,
"© Operational Research Society 2020. Crisis management is one of the significant challenges when a disaster occurs. Post disaster operations mainly focus on medical treatments. One of the general requirements of medical treatments of field hospitals in disaster is blood transfusion. This way, configuring a blood transfusion network to handle the appropriate assignments and distribution is proved to influence the type, number and severity of recent crises. Therefore, obtaining effective solutions, containing determining the optimal location of facilities of field hospitals, identifying the optimal capacity of facilities and transportation, blood transfusion routes to reduce costs and injustices in this area in times of crisis is essential. Hence, in this study, we proposed a model, intend for allocating blood types and regarding the lifetime of blood to tackle with field hospitals in the disaster sites. Furthermore, the coverage of the demand for blood types for the establishment of field hospitals and the balanced distribution of blood between these hospitals from the blood collection level to the establishment of field hospitals with optimal routing of blood transfusion at the lowest cost is considered. The proposed model for the crisis response management phase is modelled applying a multi-objective mathematical model under uncertain conditions. To cope with the uncertain data arisen in the disaster condition, the robust optimization approach is applied. Then, to solve the proposed model, a hybrid method based on Genetic Algorithm and Multi-Choice Goal Programming (GAMCGP) under uncertainty is developed. In addition, the proposed model is successfully applied to a real- world blood supply chain in Mazandaran, northern part of Iran, and the results validate the performance of the proposed model. It also proves that the suggested model can be considered as a new approach for blood supply chain tactical management in the crisis logistics.",A robust optimization model of the field hospitals in the sustainable blood supply chain in crisis logistics,blood supply chain *** Genetic Algorithm Multi-Choice Goal Programming (GAMCGP) *** lifetime of blood *** location and routing *** Robust optimization,journal of the operational research society,85094887263,2020,,,,,,
"Augmented globalization and vertical integration have made contemporary supply chains an intricate network subject to a number of vulnerabilities. Preemptive measures are needed for dealing with mutable risks and vulnerabilities to safeguard robust supply chain systems. Supply chain risk management (SCRM) connotes a set of risk management responses essentially instigated to confront supply chain risks. As supply chain risks are intertwined, one resilient strategy for risk mitigation can moderate several supply chain risks. A complex decision making problem involving twelve major supply chain risks and twenty one resilient strategies for risk mitigation have been acknowledged in this research with archetypal focus on electronics manufacturing supply chains. A combination of Multi criteria decision aid (MCDA) and artificial intelligence (AI) is increasingly used in decision making of complex real world problems. A decision support model incorporating an amalgamation of grey theory and layered analytic network process (ANP) has been employed for quantifying various resilient strategies for risk mitigation. The proposed model was also applied in a practical setting taking a case study of an electronics manufacturing company. Sensitivity analysis was also conducted to ensure the robustness of obtained results. The combined methodology proposed in this research could be effectively used by top management, to pigeonhole the resilient supply chain strategies for better managing their supply chains.",A grey-layered ANP based decision support model for analyzing strategies of resilience in electronic supply chains,Supply chain resilience *** Supply chain risk *** Resilient strategies *** Grey theory *** Analytic network process,engineering applications of artificial intelligence,WOS:000506715100046,2020,,,,,,
"© 2020, Emerald Publishing Limited. Purpose: This paper aims to evaluate the collaboration quality performance of sugar company Z and its stakeholders (farmers and distributors) by considering the sustainability aspects. This assessment shall be able to integrate qualitative and quantitative factors in the model, which is critical in sugar supply chains involving multi-stakeholders. Design/methodology/approach: Integration of quality function deployment (QFD), the fuzzy analytical network process (FANP) and the data envelopment analysis (DEA) is administered to assess the efficiency score of each stakeholder involved. The evaluation encompasses collaboration behaviour factors since the input of collaboration activities will result in sustainability aspects such as revenue, green house gas (GHG) emissions and social impact. The analysis has been conducted in two scenarios, those are the basic scenario by utilising original data and the extended scenario by using projection data. Findings: The result clarifies that the most influential behaviour factor in the collaboration activities is commitment (0.116), while the least important behaviour factors are power (0.008) and adaptation (0.008). Furthermore, by using the extended scenario, the overall efficiency for each benchmarking is higher compared to the condition before the improvement (basic scenario). Research limitations/implications: The result of this study is only relevant to the particular sugar supply chain and involving limited sustainability variables. Therefore, in a further study, more variables such as technical and financial aspects could be explored further in the assessment process. Practical implications: The result of this study is available for each stakeholder and can be fundamental for the constant improvement in sustainable supply chain (SSC) practices. It shows that an improvement of one stakeholder will positively impact the entire system. Social implications: Smallholders and sugarcane farmers will recognise the significance of collaboration behaviour. Thus, they can enhance their mutual benefits by using the existing resources. Originality/value: This paper arranges for a practical contribution by implementing advanced assessment methods in the sugar supply chain by taking into account the economic, environmental and social aspects. This comprehensive assessment process in the sugar supply chain is the novelty of this paper.",The assessment of collaboration quality: a case of sugar supply chain in Indonesia,Collaboration *** Data envelopment analysis *** Fuzzy analytic network process *** Quality function deployment *** Sugar supply chain *** Sustainability,international journal of productivity and performance management,85097076297,2020,,,,,,
"© 2020 Elsevier Ltd The context of the sustainable supply chain (SSC) is progressively getting attention among supply chain (SC) managers due to its competitive advantage in firms' performance. Increasing supply chain complexity (SCC) is argued as one of the biggest risks in achieving the organisational goal with an adverse impact on operational efficiency, cost, profitability, on-time delivery, and customer satisfaction. Though drivers of SSC and SCC have seemingly demonstrated mutual relationship in a practical scenario, supply chain managers tend to address respective drivers independently for managing and controlling. Limited availability of literature investigating interactions among drivers of SSC and SCC with its overall impact on the supply chain motivates deeper research. To address the gap, current research aims to study the mutual relationship between SSC and SCC drivers. To achieve this, a combination of sequential exploratory two-phased research methodology is adopted. The Delphi technique is initially applied to identify the critical SSC and SCC drivers followed by using interpretive structural modeling (ISM) to decipher the mutual relationship among the SSC and SCC drivers. The interactions between SSC and SCC drivers explored in this work will provide supply chain managers a framework for informed decision making. The driving and dependence power of drivers can guide SC practitioners to prioritize and focus on key drivers with a high impact on the overall outcome. The organization can also be benefitted by managing SSC and SCC drivers in synergy against the silo approach. The research finding suggests that market uncertainty, institutional regulations, strategic supplier collaboration, customer pressure, and new technologies are key five drivers in decision-making.","Analysis of supply chain sustainability with supply chain complexity, inter-relationship study using delphi and interpretive structural modeling for Indian mining and earthmoving machinery industry", ,resources policy,85086479532,2020,,,,,,
"© 2020 The Authors. Reducing nitrous oxide (N2O) emissions from agriculture is critical to limiting future global warming. In response, a growing number of food retailers and manufacturers have committed to reducing N2O emissions from their vast networks of farmer suppliers by providing technical assistance and financial incentives. A key challenge for such companies is demonstrating that their efforts are leading to meaningful progress toward their climate mitigation commitments. We show that a simplified version of soil surface nitrogen (N) balance—or partial N balance—the difference between N inputs to and outputs from a farm field (fertilizer N minus crop N), is a robust indicator of direct N2O emissions from fields with maize and other major rainfed temperate-region crops. Furthermore, we present a generalized environmental model that will allow food-supply-chain companies to translate aggregated and anonymized changes in average N balance across their supplying farms into aggregated changes in N2O emissions. This research is an important first step, based on currently available science, in helping companies demonstrate the impact of their sustainability efforts.",Quantifying On-Farm Nitrous Oxide Emission Reductions in Food Supply Chains,agriculture *** cropland *** metrics and indicators *** nitrogen balance *** nitrous oxide *** sustainability,earth's future,85093875282,2020,,,,,,
"© 2019, Springer Science+Business Media, LLC, part of Springer Nature. Reverse logistics (RL) is gradually becoming more important to manufacturing companies through environmental awareness, competitiveness, and environmental regulations. In the leather footwear industry of Bangladesh, it is possible to recycle and reuse waste, meaning a reverse logistics system could increase return-on-investment and give a competitive advantage. To date, studies on barriers to RL implementation have been conducted in other countries and in other domains, leaving a research gap in RL barrier analyses in the leather footwear industry. There are many obstacles to implementing RL in a developing country like Bangladesh; examining these barriers is a crucial research issue. This paper identifies RL barriers through (1) an extent literature review, (2) advice from Bangladeshi industry experts under the Delphi study, and (3) ranking RL barriers using the fuzzy analytical hierarchy process. The results indicate that, of the barriers investigated, the ‘knowledge and support’ category seems to be most critical. A lack of interest and support from top-level management—related to ‘knowledge and support’ issues—appears to be the major obstacle for RL implementation in the Bangladeshi leather footwear industry. These findings will help the Bangladeshi leather footwear industry, as well as other industries in Bangladesh, to understand the nature of each barrier and overcome the complexity of RL implementation in supply chains. This study will also assist decision-makers in making certain strategic policies. Future studies may contribute to the life cycle assessment and engineering of recycled and reused footwear.",Examining barriers to reverse logistics practices in the leather footwear industry,Delphi study *** Footwear industry *** Fuzzy AHP *** Green logistics *** Reverse logistics,annals of operations research,85075187279,2020,,,,,,
"© 2020, Emerald Publishing Limited. Purpose: Mismanagement of supply chain operations may lead to waste of products and incur substantial monetary losses. This is particularly true for products with attributes that hasten deterioration, e.g. time, temperature, humidity and barometric pressure. Attribute-sensitive products must be carefully monitored throughout all supply chain processes to ensure acceptable quality to the end customers. This paper presents a comprehensive review of the scientific literature on attribute sensitive products and on attribute sensitive supply chains. The collected studies were reviewed using the content analysis method, focusing on the following aspects of attribute sensitive products: (1) industries; (2) product categories; (3) decisions involved; (4) processes; (5) current issues; (6) sustainability concerns; (7) research methods used; (8) objectives of decision makers; (9) solution approaches used; (10) incentives driving management and (11) future research issues. Based on the analysis of findings, gaps are identified, and future research directions are proposed. Design/methodology/approach: Literature review and content analysis. Findings: The authors discovered that, while the importance of product attributes vary from one industry to the other, overall the time attribute was critical in all of the industries considered in this literature review. Coordination, customer satisfaction, reliability and safety were key issues in attribute sensitive product supply chains (asp-SCs). Similar to the typical supply chains, asp-SCs face economic, social and environmental sustainability issues. However, the majority of the studies in our analysis emphasized importance of the social sustainability. The majority of the papers were reviewed and analyzed and adopted the modeling approach as a research method. Furthermore, it was found that asp-SCs were mostly driven with customer demands and social pressure. Research limitations/implications: Based on the literature review and content analysis, there are a number of directions for the work conducted in this study to be extended in several directions. First, the literature search could be expanded by relaxing some of the restrictions (e.g. include the conference papers and articles from on-line business journals). Second, additional scientific publishers can be considered (e.g. Emerald Insight–www.emeraldinsight.com; Inderscience–www.inderscience.com). The latter two extensions would allow a more precise assessment of published to date work on asp-SC operations. Third, our findings could be validated based on interviews with professionals and executives from companies dealing with asp-SCs. Such validation will allow identification of the differences between the state of the art and the state of practice. Practical implications: Supply chains that handle attribute sensitive products (asps) must consider the complexity of products that significantly change their properties due to factors such as time, temperature, barometric pressure, humidity. Mismanagement of operations within such supply chains may lead to significant product waste, as well as substantial monetary losses. Originality/value: This study presented a comprehensive literature review and content analysis of studies dealing with asps in the following industries: fashion, food, healthcare, humanitarian and pharmaceutical industries",Management of supply chains with attribute-sensitive products: a comprehensive literature review and future research agenda,Attribute-sensitive products *** Cold chains *** Content analysis *** Product decay,international journal of logistics management,85091278590,2020,,,,,,
